sleeve,proxy,category,role,method,target_weight_pct,current_weight_pct,target_dollars,current_dollars,trade_dollars,action,equal_vol_weight_pct,erc_weight_pct,sharpe_weighted_weight_pct,max_sharpe_weight_pct,target_risk_contribution_pct,annual_return_pct,annual_volatility_pct,sharpe_ratio,min_weight_pct,max_weight_pct,notes
Core US equity,VTI,Core index,Broad US market anchor,erc,18.705013,10.632821,3637.704212,2067.84435,1569.859862,buy,14.633982,18.705013,16.844656,17.203652,21.00558,21.5263,14.686672,1.193347,12.0,28.0,Keeps the portfolio connected to the broad market instead of only themes.
Gold and precious metals,GLDM,Diversifier,"Crisis, currency, and real-rate hedge",erc,8.000833,18.640461,1555.981944,3625.150332,-2069.168388,trim,7.219605,8.000833,10.05234,12.0,2.934965,29.739134,17.428517,1.47684,5.0,12.0,Portfolio stabilizer that often behaves differently from growth equities.
Inflation-linked bonds,TIP,Diversifier,Inflation protection and lower-volatility ballast,erc,8.000833,0.559013,1555.981944,108.71548,1447.266464,buy,13.324388,8.000833,5.0,5.0,0.881781,3.491852,4.64712,-0.109347,5.0,15.0,Dampens equity-theme risk and keeps real-rate exposure explicit.
Core ex-US equity,VXUS,Core index,International developed and emerging market diversification,erc,7.853275,0.578767,1527.285236,112.5572,1414.728036,buy,7.529458,7.853275,8.763582,8.29683,7.870327,18.763837,15.293563,0.965363,5.0,18.0,"Adds non-US earnings, currencies, and valuation exposure."
AI semiconductors,SMH,AI and semis,"AI compute, foundry, and accelerated hardware",erc,7.793756,20.931949,1515.710089,4070.793026,-2555.082937,trim,6.178099,7.793756,7.875063,12.84737,17.008352,55.992015,32.836314,1.583369,5.0,18.0,Core AI compute exposure; broad ETF proxy reduces single-name timing risk.
Healthtech and biotech,IBB,Future growth,"Aging population, biotech platforms, tools, and medical innovation",erc,6.319036,0.0,1228.910337,0.0,1228.910337,buy,5.962774,6.319036,5.208952,4.0,6.891905,11.876285,19.709057,0.399628,4.0,12.0,Uses broad healthcare and biotech exposure to avoid binary single-drug risk.
AI software and cloud,IGV,AI and software,"Cloud platforms, software monetization, and AI applications",erc,6.235004,18.892317,1212.568071,3674.13066,-2461.562589,trim,5.465518,6.235004,5.066803,4.0,9.889133,16.46679,26.396422,0.472291,4.0,16.0,Balances hardware cyclicality with platform and application revenue.
Defense and aerospace,ITA,Defensive growth,Geopolitical and defense budget exposure,erc,4.798281,7.330477,933.157735,1425.612883,-492.455148,trim,4.984102,4.798281,6.462933,5.571761,5.338208,26.078468,19.497195,1.132392,3.0,10.0,Diversifies theme risk with defense and aerospace demand.
Infrastructure and grid,PAVE,Real economy growth,"Grid upgrades, data-center buildout, and industrial infrastructure",erc,4.765747,0.741684,926.830595,144.24081,782.589785,buy,4.934472,4.765747,6.519327,7.835846,6.116003,27.604107,19.997409,1.180358,3.0,10.0,A capex sleeve with different drivers than software and chips.
Cybersecurity,CIBR,Future growth,Security software and resilient enterprise IT spend,erc,4.748082,0.193866,923.395202,37.70252,885.692682,buy,4.801769,4.748082,5.214552,5.24454,6.617183,21.121455,21.470252,0.79745,3.0,10.0,Structural demand driver that is not identical to semiconductors.
Clean energy and electrification,ICLN,Future growth,"Renewables, storage, and power transition",erc,3.200333,0.0,622.392778,0.0,622.392778,buy,3.656182,3.200333,2.444689,2.0,3.43038,8.069053,23.357595,0.174207,2.0,8.0,Keeps energy-transition exposure sized for the sector's higher volatility.
Real assets and commodities,DBC,Diversifier,"Commodity, energy, metals, and resource-equity inflation exposure",erc,3.200333,2.66874,622.392778,519.00992,103.382858,buy,4.323615,3.200333,4.450895,2.0,0.71995,15.39329,16.64838,0.684348,2.0,10.0,Complements TIPS with direct commodity and resource-linked exposure.
Fintech and digital payments,FINX,Future growth,"Digital wallets, embedded finance, and payment networks",erc,3.19414,0.0,621.188403,0.0,621.188403,buy,3.427689,3.19414,2.690702,2.0,5.493257,12.505036,27.095835,0.313887,2.0,8.0,Captures financial digitization while capping cyclical and rate sensitivity.
Robotics and automation,BOTZ,Future growth,"Industrial automation, robotics, and machine vision",erc,3.185333,0.0,619.475677,0.0,619.475677,buy,3.558344,3.185333,3.405506,2.0,5.802974,18.526432,24.824065,0.585175,2.0,8.0,Adds productivity and manufacturing automation exposure.
Cash reserve,CASH,Cash,Liquidity reserve,erc,10.0,18.160044,1944.775,3531.72,-1586.945,trim,10.0,10.0,10.0,10.0,,,,,10.0,10.0,Target cash reserve from the rebalance settings.
